"time" "n_samples" "n_cells" "surv" "CL" "zt" "er" "b"
"293" 276 483 332 "one_step_00" "0.8/0.9" "5000" "100" "0"
"294" 288 483 325 "one_step_00" "0.8/0.9" "5000" "100" "0"
"295" 300 482 308 "one_step_00" "0.8/0.9" "5000" "100" "0"
"296" 312 482 302 "one_step_00" "0.8/0.9" "5000" "100" "0"
"297" 324 481 279 "one_step_00" "0.8/0.9" "5000" "100" "0"
"298" 336 481 264 "one_step_00" "0.8/0.9" "5000" "100" "0"
"299" 348 481 262 "one_step_00" "0.8/0.9" "5000" "100" "0"
"300" 360 479 256 "one_step_00" "0.8/0.9" "5000" "100" "0"
"301" 12 200 195 "one_step_00" "0.8/0.9" "5000" "100" "50"
"302" 24 200 194 "one_step_00" "0.8/0.9" "5000" "100" "50"
"303" 36 486 452 "one_step_00" "0.8/0.9" "5000" "100" "50"
"304" 48 486 457 "one_step_00" "0.8/0.9" "5000" "100" "50"
"305" 60 486 460 "one_step_00" "0.8/0.9" "5000" "100" "50"
"306" 72 486 454 "one_step_00" "0.8/0.9" "5000" "100" "50"
"307" 84 486 451 "one_step_00" "0.8/0.9" "5000" "100" "50"
"308" 96 486 460 "one_step_00" "0.8/0.9" "5000" "100" "50"
"309" 108 486 454 "one_step_00" "0.8/0.9" "5000" "100" "50"
"310" 120 486 453 "one_step_00" "0.8/0.9" "5000" "100" "50"
"311" 132 486 452 "one_step_00" "0.8/0.9" "5000" "100" "50"
"312" 144 486 447 "one_step_00" "0.8/0.9" "5000" "100" "50"
"313" 156 486 450 "one_step_00" "0.8/0.9" "5000" "100" "50"
"314" 168 486 445 "one_step_00" "0.8/0.9" "5000" "100" "50"
"315" 180 486 435 "one_step_00" "0.8/0.9" "5000" "100" "50"
"316" 192 486 444 "one_step_00" "0.8/0.9" "5000" "100" "50"
"317" 204 486 449 "one_step_00" "0.8/0.9" "5000" "100" "50"
"318" 216 486 423 "one_step_00" "0.8/0.9" "5000" "100" "50"
"319" 228 486 419 "one_step_00" "0.8/0.9" "5000" "100" "50"
"320" 240 486 423 "one_step_00" "0.8/0.9" "5000" "100" "50"
"321" 252 485 409 "one_step_00" "0.8/0.9" "5000" "100" "50"
